municipality,canton,lat,lon
Gams,SG,47.21059386074343,9.420409087548393
Gebenstorf,AG,47.48134320496854,8.246084754789166
Geneve,GE,46.205310051650564,6.137251916865813
Gerlafingen,SO,47.172179054193386,7.5749018466930975
Geroldswil,ZH,47.4219057337352,8.413798414830406
Geuensee,LU,47.19983066727648,8.119548811957081
Gisikon,LU,47.12693880630495,8.402491925711509
Giswil,OW,46.836179044533615,8.130110684339552
Givisiez,FR,46.81280757198184,7.125858941500577
Gland,VD,46.41789239945162,6.277743399231699
Glarus,GL,47.02955377110725,9.001862915205669
Goldach,SG,47.473887856258145,9.468483672275132
Gossau,ZH,47.30003699857342,8.768444926116684
Gossau,SG,47.42561402919434,9.256735617004232
Grabs,SG,47.170256576613255,9.390789079667117
Grenchen,SO,47.20558845556859,7.394405238642856
Greng,FR,46.91442844195678,7.093458424550162
Grindelwald,BE,46.626580815514224,8.02063368231597
Grosswangen,LU,47.12941479930621,8.048950203158839
Grusch,GR,46.9707983362619,9.645875599270934
Guggisberg,BE,46.74595513197592,7.357087769229333
Gunzgen,SO,47.31231989877535,7.840089746452078
Harkingen,SO,47.30742672599582,7.816945751260799
Heiden,AR,47.44276006312066,9.53570625257458
Heimberg,BE,46.79518608421897,7.609093276317202
Henniez,VD,46.74380389162646,6.892175690868868
Hergiswil,NW,46.983177222545,8.273037601484116
Herisau,AR,47.38013864655854,9.269410418623812
Herrliberg,ZH,47.29353650663498,8.625028040692877
Herzogenbuchsee,BE,47.18443184396698,7.70210035880234
Hettlingen,ZH,47.55193460398328,8.704375948797898
Hinwil,ZH,47.303521675611584,8.861652188440207
Hirschthal,AG,47.31742384709301,8.066910061861668
Hitzkirch,LU,47.22025502349052,8.272831099466808
Hochdorf,LU,47.16537788206705,8.285722122485684
Holderbank,AG,47.43291610303811,8.174336360766883
Holderbank,SO,47.33334117188302,7.765299014661088
Hombrechtikon,ZH,47.25251202031108,8.765405470218639
Horgen,ZH,47.247973606290216,8.591363693607464
Horw,LU,47.0152354943118,8.301519315059991
Hunenberg,ZG,47.19400016062952,8.424170088606107
Huttwil,BE,47.10454424476383,7.845796903868189
Illnau-Effretikon,ZH,47.42997881057654,8.725947553791697
Innertkirchen,BE,46.68858455233535,8.303503250233305
Interlaken,BE,46.68501474662793,7.860555830843286
Inwil,LU,47.13162231091164,8.36898913420724
Islisberg,AG,47.32151866101891,8.440676943778799
Ittigen,BE,46.98040033500906,7.475375367457159
Jonschwil,SG,47.42325723171155,9.096845003471568
Kaiseraugst,AG,47.53456758941734,7.739593159630202
Kandersteg,BE,46.4681129551701,7.6929146512718996
Kilchberg,ZH,47.32309413232768,8.545664202446197
Kirchberg,SG,47.4085336140279,9.012486305603199
Kloten,ZH,47.462721111781384,8.600771195620679
Koblenz,AG,47.604509342995996,8.241289337271226
Koniz,BE,46.894912305377595,7.408210119775201
Konolfingen,BE,46.8878166682784,7.605433714041902
Kreuzlingen,TG,47.64165532912775,9.17843921532226
Kriens,LU,47.0191282104218,8.275046087140435
La Chaux-de-Fonds,NE,47.113251034759635,6.819572690498375
La Neuveville,BE,47.07108792110533,7.106373472877286
La Tene,NE,47.00788824607852,7.009599561599183
La Tour-de-Peilz,VD,46.4530559932205,6.8670767418828085
Lachen,SZ,47.190930685703286,8.855942407431918
Lamone,TI,46.04722815480836,8.93241414925964
Lancy,GE,46.18261202821421,6.123883984097018
Landquart,GR,46.95465864624658,9.593179166059423
Langenthal,BE,47.212573304520724,7.820979278011312
Lausanne,VD,46.542878638532684,6.648768104502139
Lausen,BL,47.470705120655296,7.763373051091054
Le Chenit,VD,46.60800433693605,6.2422016082685605
Le Landeron,NE,47.06412796564189,7.069191462951372
Le Locle,NE,47.058552746467505,6.752690968304795
Le Mont-sur-Lausanne,VD,46.56273229519015,6.640324337667707
Le Noirmont,JU,47.21332512085885,6.940507813927506
Le Vaud,VD,46.47324979959731,6.240259071257943
Leibstadt,AG,47.58977694214181,8.17904651723385
Leimbach,AG,47.27547110760282,8.171115332416258
Lengnau,BE,47.180445408879,7.363601140015294
Lengnau,AG,47.52457333577286,8.325702144389997
Lengwil,TG,47.612354948444306,9.203518345370206
Lenk,BE,46.43020943187282,7.468952991969985
Lenzburg,AG,47.38643584265788,8.17873379172079
Liestal,BL,47.48743222487921,7.733453420864572
Locarno,TI,46.181425311174536,8.783917814947701
Lommiswil,SO,47.22545352056727,7.473832646237727
Lugano,TI,46.01595722300559,8.96850063692265
Lupfig,AG,47.44480110131617,8.196881045451159
Luterbach,SO,47.21553950254362,7.588945066687037
Luzern,LU,47.05654080563903,8.285437370269632
Lyss,BE,47.07477196151199,7.317850039855879
Lyssach,BE,47.06420467891305,7.577813461326215
Magenwil,AG,47.41216218620125,8.234624338426254
Malters,LU,47.0389978395767,8.177011471601363
Mannedorf,ZH,47.2567353888272,8.696331533742251
Manno,TI,46.03097372701449,8.919031650880614
Marstetten,TG,47.593507024380514,9.090240402410164
Marthalen,ZH,47.621499833154495,8.633875603554193
Martigny,VS,46.103907207691286,7.081133621788129
Massagno,TI,46.01281525213581,8.944894634013696
Matran,FR,46.78289843730829,7.089539416368322
Meilen,ZH,47.27660521944493,8.643232679971515
Melide,TI,45.955009814030284,8.943507050022138
Mellingen,AG,47.42127777364602,8.27143140024114
Mels,SG,47.0141171475783,9.36208620608233
Mendrisio,TI,45.881256453564475,8.964666632406566
Menziken,AG,47.235247296801866,8.180979061865497
Menzingen,ZG,47.170718050138476,8.60286539399252
Merenschwand,AG,47.25443033739917,8.382162406811222
Meyrin,GE,46.23471571862599,6.075571333423861
Milvignes,NE,46.97048753683277,6.86037870424603
Mohlin,AG,47.56571348437676,7.850288495739398
Monchaltorf,ZH,47.312556199013684,8.717897556602082
Monthey,VS,46.25052112729414,6.941159978382816
Montreux,VD,46.445827215912026,6.922992683533048
Morges,VD,46.51192542065732,6.495242643940559
